barcode,product_name,brands,primary_brand,query_category,off_categories,primary_country,nova_group,nutriscore_grade,energy_kcal,fat_100g,saturated_fat_100g,carbs_100g,sugars_100g,protein_100g,salt_100g,image_url,health_wash_score_v1,upf_markers_found,functional_claims_found,negative_claims_found,has_artificial_sweetener,ht_sugar_loophole,ht_protein_masks_fat,ht_fibre_distraction,ht_vegan_calorie_trap,tier,sampling_reason
853311003594,Organic Master Brew Kombucha Grapefruit,"kevita inc., kevita",kevita inc.,beverages,Beverages,"United States,World",4.0,D,8.89843592191801,0.0,,2.00214808243155,2.00214808243155,0.0,0.0166845673535963,https://images.openfoodfacts.org/images/products/085/331/100/3594/front_en.7.400.jpg,9.0,sweetener_natural|added_flavour,energy_claim,non_gmo,0.0,0.0,0.0,0.0,0.0,2,tier2_nova4_DE_claims:kevita inc.
853311003624,Organic Master Brew Kombucha Raspberry Lemon,"kevita inc., kevita",kevita inc.,beverages,"Beverages, en:kombuchas","United States,World",4.0,D,8.89843592191801,0.0,,2.00214808243155,2.00214808243155,0.0,0.0139038061279969,https://images.openfoodfacts.org/images/products/085/331/100/3624/front_en.8.400.jpg,9.0,sweetener_natural|added_flavour,energy_claim,non_gmo,0.0,0.0,0.0,0.0,0.0,2,tier2_nova4_DE_claims:kevita inc.
853311003655,Organic Master Brew Kombucha Lavender Melon,"kevita inc., kevita",kevita inc.,beverages,Beverages,"United States,World",4.0,D,,,,,,,,https://images.openfoodfacts.org/images/products/085/331/100/3655/front_en.5.400.jpg,9.0,sweetener_natural|added_flavour,energy_claim,non_gmo,0.0,0.0,0.0,0.0,0.0,2,tier2_nova4_DE_claims:kevita inc.
853311003808,Master Brew Kombucha,kevita inc.,kevita inc.,beverages,Beverages,United States,4.0,D,,,,,,,,https://images.openfoodfacts.org/images/products/085/331/100/3808/front_en.5.400.jpg,9.0,sweetener_natural|added_flavour,energy_claim,,0.0,0.0,0.0,0.0,0.0,2,tier2_nova4_DE_claims:kevita inc.
853311003860,Master Brew Kombucha,kevita inc.,kevita inc.,beverages,Beverages,United States,4.0,D,,,,,,,,https://images.openfoodfacts.org/images/products/085/331/100/3860/front_en.5.400.jpg,9.0,sweetener_natural|added_flavour,energy_claim,,0.0,0.0,0.0,0.0,0.0,2,tier2_nova4_DE_claims:kevita inc.
8906080600357,paper boat orange pch,paper boat,paper boat,beverages,"Plant-based foods and beverages, Beverages, Plant-based beverages, Fruit-based beverages, en:orange-nectars",India,4.0,E,60.0,0.0,0.0,15.0,13.9,0.0,0.155,https://images.openfoodfacts.org/images/products/890/608/060/0357/front_en.35.400.jpg,12.0,emulsifier_concern|acid_regulator,fortification_claim,,0.0,0.0,0.0,0.0,0.0,2,tier2_nova4_DE_claims:paper boat
8906080601767,Swing Lush Lychee,paper boat,paper boat,beverages,Beverages,India,4.0,E,,,,,,,,https://images.openfoodfacts.org/images/products/890/608/060/1767/front_en.6.400.jpg,12.0,thickener|added_flavour|acid_regulator,fortification_claim,,0.0,0.0,0.0,0.0,0.0,2,tier2_nova4_DE_claims:paper boat
8906080602726,Paper Boat Swing yummy Guava 600ml pet,paper boat,paper boat,beverages,"Beverages and beverages preparations, Beverages, Sweetened beverages, en:fruit-nectars",India,4.0,E,,,,,,,,https://images.openfoodfacts.org/images/products/890/608/060/2726/front_en.16.400.jpg,6.0,added_flavour,fortification_claim,,0.0,0.0,0.0,0.0,0.0,2,tier2_nova4_DE_claims:paper boat
8906080603303,Swing,paper boat,paper boat,beverages,"Plant-based foods and beverages, Beverages, Plant-based beverages, Juices and nectars",India,4.0,E,,,,,,,,https://images.openfoodfacts.org/images/products/890/608/060/3303/front_en.5.400.jpg,6.0,added_flavour,fortification_claim,,0.0,0.0,0.0,0.0,0.0,2,tier2_nova4_DE_claims:paper boat
8906080603938,Swing+ Slurpy Mango,paper boat,paper boat,beverages,"Plant-based foods and beverages, Beverages, Plant-based beverages, Fruit-based beverages",India,4.0,E,,,,,,,,https://images.openfoodfacts.org/images/products/890/608/060/3938/front_en.3.400.jpg,6.0,added_flavour,fortification_claim,,0.0,0.0,0.0,0.0,0.0,2,tier2_nova4_DE_claims:paper boat
8906080604294,Swing+,paper boat,paper boat,beverages,beverages,India,4.0,E,55.6,0.0,0.0,13.9,13.3,0.0,30.0,https://images.openfoodfacts.org/images/products/890/608/060/4294/front_en.3.400.jpg,3.0,added_flavour,fortification_claim,,0.0,0.0,0.0,0.0,0.0,2,tier2_nova4_DE_claims:paper boat
94129045,Guarana Energy Drink,v,v,beverages,"Beverages, Energy drinks, en:sweetened-beverages","Australia,New Zealand",4.0,E,147.0,0.0,0.0,13.88,34.6,0.0,0.000124,https://images.openfoodfacts.org/images/products/000/009/412/9045/front_en.47.400.jpg,9.0,preservative|acid_regulator,fortification_claim|energy_claim,,0.0,0.0,0.0,0.0,0.0,2,tier2_nova4_DE_claims:v
94150957,ENERGY DRINK,v,v,beverages,"Beverages,Energy drinks,Energy drink with sugar","Australia,France,New Zealand",4.0,E,45.0286806883364,0.0,0.0,10.68,10.56,0.0,0.102,https://images.openfoodfacts.org/images/products/000/009/415/0957/front_en.25.400.jpg,3.0,acid_regulator,fortification_claim|energy_claim,,0.0,0.0,0.0,0.0,0.0,2,tier2_nova4_DE_claims:v
